hebraeisch,bemerkungen,deutsch,lektion
הוּא,,er (Sg. m.),1
הִיא,,sie (Sg. f.),1
אַתָּה,,du (m.),1
אַתְּ,,du (f.),1
אֲנִי,,ich,1
אָנֹכִי,,ich,1
אַתֶּם,,ihr (Pl. m.),1
אֲנַחְנוּ/נַחְנוּ,,wir,1
זֶה,,dieser (Sg. m.),1
זאֹת,,diese (Sg. f.),1
אֵלֶּה,,diese (Pl. c.),1
אֲשֶׁר,,Relativpartikel,1
מִי,,wer,1
מָה,,was,1
אַחֵר,,anderer,1
כֹּל/כָּל־,,"die Gesamtheit; ganz, alle",1
לְ,,"für, in Bezug auf, zu",1
מִן,,von,1
אֶל,,"zu, gegen",1
הֵמָּה/הֵם,,sie (Pl. m.),1
אַחַר,,"hinter, hinterher",1
בְּ,,"in, an, durch",1
עִם,,"mit, bei",1
עַל־,,"auf, über; gegen",1
בֵּין,,zwischen,1
כְּ,,wie,1
אֵת,,I. Akkusativzeichen; II. mit; bei,1
(ל)מַעַן ,,"um...willen; damit, wegen",1
וְ,,und,1
כִּי,,"dass, denn, weil",1
אִם,,wenn,1
אוֹ,,oder,1
לאֹ,,nicht,1
אַל,,nicht (Verneinung des Jussiv),1
מְאד,,sehr,1
הֵן/הִנֵּה,,siehe,1
כֹּה,,so,1
כֵּן,,"so, also, ja",1
עוֹד,,"noch, nochmals",1
ה,,Etwa? (Fragepartikel),1
אַף,,"also, auch, sogar",1
גַּם,,"auch, sogar",1
אַיִן/אֵין,,es gibt nicht; das Nicht(vorhanden)sein,1
יֵשׁ,,es gibt; das Vorhandensein,1
נָא,,doch bitte,1
אַךְ,,"nur, gewiss",1
שָׁם,,dort,1
שַׁמָּה,,"dort, dorthin",1
היה,,"sein, werden",1
אָדָם,,Mensch,2
אִישׁ,,Mann,2
אֲנָשִׁים,,Männer (Pl. m.),2
אִשָּׁה,,Frau,2
נָשִׁים,,Frauen (Pl. f.),2
זקן,,"alt werden, alt sein/alt",2
נַעַר,,"Knabe, Knecht, Diener",2
נַעֲרָה,,"Mädchen, Magd, Dienerin",2
אָב,,Vater,2
אָבוֹת,,Väter (Pl. m.),2
אֵם,,Mutter,2
בֵּן,,Sohn,2
בַּת,,Tochter,2
אָח,,Bruder,2
אָחוֹת,,Schwester,2
גאל,Q.,"loskaufen; auslösen, erlösen",2
ילד,Q.,gebären,2
ילד,Hi.,zeugen,2
הרה,Q.,schwanger werden/sein; empfangen,2
יֶלֶד,,Kind,2
בְּכֹר,,"erstgeboren, Erstgeborener",2
אהב,Q.,lieben,2
נשׁק,Q.,küssen,2
דבק,Q.,"kleben, haften an; anhangen",2
טוֹב,,"gut, angenehm",2
טוֹב/יטב,Q.,gut sein,2
עֶבֶד,,"Diener, Knecht",2
עבד,Q.,dienen,2
אָמָה,,"Magd, Dienerin",2
שִׁפְחָה,,"Magd, Sklavin",2
רֵעַ,,"Nächster, Freund",2
בָּשָׂר,,"Fleisch, Leib",3
שֵׁם,,Name,3
דָּם,,Blut,3
לֵב/לֵבָב,,Herz,3
עֶצֶם,,"Knochen, Gebein, Wesen",3
שׁכב,Q.,liegen,3
קוּם,Q.,"aufstehen, bestehen",3
ראֹשׁ,,"Kopf, Haupt; Gipfel",3
פָּנִים,,"Angesicht, Oberfläche; Gesicht",3
שָׂפָה,,"Lippe, Rand, Ufer",3
לָשׁוֹן,,"Zunge, Sprache",3
שֵׁן,,Zahn,3
יָד,,Hand,3
כַּף,,Handfläche,3
רֶגֶל,,Fuß,3
עמד,Q.,"stehen, hintreten",3
תפשׂ,Q.,"ergreifen, fassen",3
לקח,Q.,nehmen,3
שׂים,Q.,"setzen, legen, platzieren",3
עזב,Q.,"verlassen, lassen",3
שׁלך,Hi.,werfen,3
נשׂא,Q.,tragen; aufheben,3
נטה,Q.,"Q. ausstrecken, ausdehnen; abbiegen; Hi. ausstrecken, beugen",3
נטה,Hi.,"ausstrecken, beugen",3
חַיִּים,,Leben,4
חַי,,lebendig,4
חַיה,Q.,leben,4
נֶפֶשׁ,,"Seele, Person, Leben",4
רוּחַ,,"Wind, Hauch, Geist",4
עֹז,,"Stärke, Kraft",4
חָזָק,,"fest, stark",4
חזק,Q.,"fest sein, stark sein",4
חזק,Hi.,"ergreifen, festhalten",4
כֹּחַ,,"Kraft, Stärke",4
יכל,Q.,"können, vermögen, fähig sein",4
מָוֶת,,Tod,4
מוּת,Q.,sterben,4
מוּת,Hi.,töten,4
אבד,Q.,zugrunde gehen,4
אבד,Hi.,zugrunde richten,4
אבד,Pi.,zugrunde richten,4
כלה,Q.,"fertig werden, aufhören",4
כלה,Pi.,vollenden,4
הרג,Q.,töten,4
קבר,Q.,begraben,4
שְׁאוֹל,,"Unterwelt, Totenreich; Scheol",4
נפל,Q.,fallen,4
שׁבר,Q.,"zerbrechen, brechen",4
פֶּן,,damit nicht,4
בַעַד,,in Bezug auf/zugunsten von,4
עַיִן,,Auge; Quelle,5
ראה,Q.,sehen,5
ראה,Ni.,"sich sehen lassen, erscheinen",5
ראה,Hi.,zeigen,5
מַרְאֶה,,"Aussehen; Vision, Erscheinung",5
חזה,Q.,sehen,5
בין,Q.,verstehen; unterscheiden,5
בין,Hi.,verstehen; unterscheiden,5
פֶּה,,Mund; Schwertscheide,5
נגע,Q.,"berühren, schlagen",5
אַף,,"Nase, Zorn",5
אֹזֶן,,Ohr,5
שׁמע,Q.,hören,5
חרשׁ,Q.,taub sein,5
חרשׁ,Hi.,schweigen,5
קוֹל,,Stimme,5
דבר,Pi.,"reden, sprechen",5
דָּבָר,,Wort; Geschehnis,5
אמר,Q.,sagen,5
זעק/צעק,Q.,"(um Hilfe) schreien, rufen",5
שׁיר,Q.,singen,5
שִׁיר,,Lied; Gesang,5
מִזמוֹר,,"Lied, Psalm, Melodie",5
בֶּגֶד,,"Gewand, Kleid",6
כסה,Pi.,bedecken,6
זָהָב,,Gold,6
כֶּסֶף,,Silber,6
בַּיִת,,Haus; Tempel; Familie,7
שׁכן,,wohnen,7
מִשְׁכָּן,,Wohnung,7
פֶּתַח,,"Tür, Öffnung, Tor",7
שַׁעַר,,Tor,7
חָצֵר,,"Hof, Innenhof",7
פתח,,öffnen,7
בוֹא,Q.,"hineingehen, kommen",7
בוֹא,Hi.,"hineinführen, -bringen",7
יצא,Q.,"hinaus-, herausgehen ",7
יצא,Hi.,"hinaus-, herausführen",7
שֻׁלחָן,,Tisch,7
אוֹר,,leuchten,7
אוֹר,,Licht,7
ישׁב,Q.,"sitzen, wohnen, bleiben",7
גֵּר,,"Schutzbürger, sesshafter Fremder",7
רוּם,Q.,"hoch sein, erhaben sein",7
מַעַל,,"oben, oberhalb von",7
תַּחַת,,"unter, anstatt von",7
תַּוֶךְ,,Mitte,7
בְתוֹךְ,,inmitten von,7
אַחֲרֵי/אַחֲרֹן,,"nach, nach hinten",7
אַחֲריִת,,"das danach Kommende, Hinteres; Ende, Schluss",7
קֶרֶב,,"Inneres, Mitte, Eingeweide",7
לֶחֶם,,Brot,8
אכל,Q.,essen,8
שׁתה,Q.,trinken,8
יַיִן,,Wein,8
שֶׁמֶן,,Öl,8
כְּלִי,,Gefäß,8
מָלֵא,Q.,"voll sein, erfüllen",8
שׁפך,Q.,ausgießen,8
אֵשׁ,,Feuer,8
שׂרף,Q.,"brennen, verbrennen",8
דְּבַשׁ,,Honig,8
אֶרֶץ,,"Erde, Land",9
גְּבוּל,,"Grenze, Gebiet",9
מָקוֹם,,Ort,9
מִגְרָשׁ,,"Weidegebiet, gemeinsames Weideland",9
שָׂדָה,,Feld,9
אֲדָמָה,,"Erde, Erdboden",9
עָפָר,,Staub,9
עֵבֶר,,"jenseits, gegenüber; jenseitiges Land",9
בָּמָה,,"Höhe, Anhöhe, Opferhöhe",9
הַר,,Berg,9
נֶגֶב,,"trockenes Gebiet; Süden, Südland",9
צוּר,,Fels,9
גֵּיא/גַּיְא,,"Tal, Schlucht",9
סָבִיב,,ringsum,9
מַיִם,,Wasser,9
נָהָר,,Fluss,9
נָחָל,,"Bach, Sturzbach",9
יְאֹר,,"(großer) Fluss; meist: Nil, Nilarm",9
בּוֹר,,Grube,9
יבשׁ,Q.,"trocken werden, verdorren",9
עִיר,,Stadt,9
עָרִים,,Städte (Pl. f.),9
חוֹמָה,,Mauer,9
חוּץ,,Straße¸ draußen,9
דֶרֶךְ,,Weg,9
עִבְרִי,,"Hebräer, hebräisch",9
שׁור,,"Rind, Stier",10
פַּר,,"Jungstier, Stier",10
בָּקָר,,Rind; Großvieh,10
צאֹן,,Kleinvieh,10
אַיִל,,Widder,10
כֶּבֶשׂ,,"(entwöhntes) Lamm, junger Widder",10
רעה,,"weiden, hüten",10
אֹהֶל,,Zelt,10
מִדְבָּר,,Wüste,10
מַטֶּה,,"Stab, Stamm",10
שֵׁבֶט,,"Stab, Stamm",10
מִשׁפָּחָה,,"Großfamilie, Sippe, Clan",10
עָנָן,,Wolke,10
בְּהֵמָה,,Vieh,11
סוּס,,Pferd,11
עוֹף,,"Vögel (koll.), Geflügel",11
עוֹף,Q.,fliegen,11
