hebraeisch,bemerkungen,deutsch,lektion
הוּא,,er (Sg. m.),1
הִיא,,sie (Sg. f.),1
אַתָּה,,du (m.),1
אַתְּ,,du (f.),1
אֲנִי,,ich,1
אָנֹכִי,,ich,1
הֵמָּה/הֵם,,sie (Pl. m.),1
אַתֶּם,,ihr (Pl. m.),1
אֲנַחְנוּ/נַחְנוּ,,wir,1
הַ ּ,,Artikel/Determinationspräfix,1
זֶה,,dieser (Sg. m.),1
זאֹת,,diese (Sg. f.),1
אֵלֶּה,,diese (Pl. c.),1
אֲשֶׁר,,Relativpartikel,1
מִי,,wer?,1
מָה,,was?,1
כֹּל/כָּל־,,"die Gesamtheit; ganz, alle",1
לְ,,"für, in Bezug auf, zu",1
מִן,,von,1
אֶל,,"zu, gegen",1
אַחַר,,"hinter, hinterher",1
בְּ,,"in, an, durch",1
עִם,,"mit, bei",1
עַל־,,"auf, über; gegen",1
בֵּין,,zwischen,1
כְּ,,wie,1
אֵת,,I. Akkusativzeichen; II. mit; bei,1
וְ,,und,1
כִּי,,"dass, denn, weil",1
אִם,,wenn,1
לֹא,,nicht,1
אַל,,nicht (Verneinung des Jussivs),1
מְאֹד,,sehr,1
הֵן/הִנֵּה,,siehe,1
כֹּה,,so,1
כֵּן,,"so, also, ja",1
עוֹד,,"noch, nochmals",1
הֲ,,etwa? (He interrogativum),1
אַף,,"also, auch, sogar",1
גַּם,,"auch, sogar",1
אַיִן/אֵין,,es gibt nicht,1
יֵשׁ,,es gibt,1
נָא,,"doch, bitte",1
שָׁם,,dort,1
שַׁמָּה,,"dort, dorthin",1
אׇדָם,,Mensch,2
אִישׁ,,Mann,2
אֲנָשִׁים,,Männer (Pl. m.),2
אִשָׁה,,Frau,2
נָשִׁים,,Frauen (Pl. f.),2
נַעַר,,"Knabe, Knecht, Diener",2
נַעֲרָה,,"Mädchen, Magd, Dienerin",2
אָב,,Vater,2
אָבוֹת,,Väter (Pl. m.),2
אֵם,,Mutter,2
בֵּן,,Sohn,2
בַּת,,Tochter,2
אָח,,Bruder,2
אָחוֹת,,Schwester,2
ילד,,"Q. gebären, Hi. zeugen",2
הרה,,schwanger werden/sein; empfangen,2
יֶלֶד,,Kind,2
בְּכֹר,,"erstgeboren, Erstgeborener",2
אהב,,lieben,2
טוֹב,,"gut, angenehm",2
טוֹב/יטב,,gut sein,2
עֶבֶד,,"Diener, Knecht",2
עבד,,dienen,2
אָמָה,,"Magd, Dienerin",2
שִׁפְחָה,,"Magd, Sklavin",2
רֵעַ,,"Nächster, Freund",2
בָּשָׂר,,"Fleisch, Leib",3
שֵׁם,,Name,3
דָּם,,Blut,3
לֵב/לֵבָב,,Herz,3
קוּם,,"aufstehen, bestehen",3
רֹאשׁ,,"Kopf, Haupt; Gipfel",3
פָּנִים,,"Angesicht, Oberfläche; Gesicht",3
יָד,,Hand,3
רֶגֶל,,Fuß,3
עמד,,"stehen, hintreten",3
לקח,,nehmen,3
שִׂים,,"setzen, legen, platzieren",3
עזב,,"verlassen, lassen",3
שׁלך,,Hi. werfen,3
נשׂא,,tragen; aufheben,3
חַיּים,,Leben,4
חַי,,lebendig,4
חיה,,leben,4
היה,,"sein, werden",4
נֶפֶשׁ,,"Seele, Person, Leben",4
רוּחַ,,"Wind, Hauch, Geist",4
עֹז,,"Stärke, Kraft",4
חָזָק,,"fest, stark",4
חזק,,"Q. fest sein, stark sein 
 Hi. ergreifen, festhalten",4
כֹּחַ,,"Kraft, Stärke",4
יכל,,"können, vermögen, fähig sein",4
מָוֶת,,Tod,4
מוּת,,"Q. sterben, Hi. töten",4
הרג,,töten,4
שְׁאוֹל,,"Unterwelt, Totenreich; Scheol",4
נפל,,fallen,4
שׁבר,,"zerbrechen, brechen",4
עַיִן,,Auge; Quelle,5
ראה,,"Q. sehen
 Ni. sich sehen lassen, erscheinen
 Hi. zeigen",5
פֶּה,,Mund; Schwertscheide,5
פִּים,,Münder (Pl. m.),5
נגע,,"berühren, schlagen",5
אַף,,"Nase, Zorn",5
אֹזֶן,,Ohr,5
שׁמע,,hören,5
קוֹל,,Stimme,5
דבר,,"Pi. reden, sprechen",5
דָּבָר,,Wort; Geschehnis,5
אמר,,sagen,5
זעק/צעק,,"(um Hilfe) schreien, rufen",5
שׁיר,,singen,5
שִׁיר,,Lied; Gesang,5
מִזמוֹר,,"Lied, Psalm, Melodie",5
בַּיִת,,Haus; Tempel; Familie,6
פֶּתַח,,"Tür, Öffnung, Tor",6
שַׁעַר,,Tor,6
פתח,,öffnen,6
בוֹא,,"Q. hineingehen, kommen
 Hi. hineinführen, -bringen",6
יצא,,"Q. hinaus-, herausgehen;  
 Hi. hinaus-, herausführen",6
זָהָב,,Gold,6
כֶּסֶף,,Silber,6
אוֹר,,leuchten,6
אוֹר,,Licht,6
ישׁב,,"sitzen, wohnen, bleiben",6
רוּם,,"hoch sein, erhaben sein",6
תַּחַת,,"unter, anstatt von",6
אַחֲרֵי/אַחֲרֹן,,"nach, nach hinten",6
אַחֲריִת,,"das danach Kommende, Hinteres; Ende, Schluss",6
לֶחֶם,,Brot,7
אכל,,essen,7
יַיִן,,Wein,7
שֶׁמֶן,,Öl,7
אֵשׁ,,Feuer,7
אֶרֶץ,,"Erde, Land",8
מָקוֹם,,Ort,8
שׇׂדׇה,,Feld,8
אֲדָמָה,,"Erde, Erdboden",8
עָפָר,,Staub,8
הַר,,Berg,8
צוּר,,Fels,8
מַיִם,,Wasser,8
עִיר,,Stadt,8
עָרִים,,Städte (Pl. f.),8
חוֹמָה,,Mauer,8
חוּץ,,Straße¸ draußen,8
דֶּרֶךְ,,Weg,8
עִבְרִי,,"Hebräer, hebräisch",8
בָּקָר,,Rind; Großvieh,9
צֹאן,,Kleinvieh,9
רעה,,"weiden, hüten",9
אֺהֶל,,Zelt,9
מׅדְבָּר,,Wüste,9
מִשְׁפָּחָה,,"Großfamilie, Sippe, Clan",9
בְּהֵמָה,,Vieh,10
לכד,,"fangen, einfangen, einnehmen",10
שׁחט,,schlachten,10
אָז,,"damals, da",10
זֶרַע,,Same; Nachkommenschaft,11
אסף,,"sammeln, einsammeln, ernten",11
קבץ,,"Q., Pi. sammeln, ernten; versammeln",11
רָעָב,,"Hungersnot, Hunger",11
עֵץ,,Baum,11
שָׁנָה,,Jahr,12
חֹדֶשׁ,,"Monat, Neumond",12
יוֹם,,Tag,12
יָמִים,,Tage (Pl. m.),12
שַׁבָּת,,Sabbat,12
לַיְלָה,,Nacht,12
בֹּקֶר,,Morgen,12
עֶרֶב,,Abend,12
חָדָשׁ,,neu,12
עֵת,,Zeit,12
דּוֹר,,"Generation, Geschlecht; Zeitabschnitt, Periode",12
עוֹלָם,,Ewigkeit,12
רֵאשִׁית,,"Anfang, Erstes, Bestes",12
עַתָּה,,jetzt,12
שָׁמַיִם,,Himmel,12
שֶׁמֶשׁ,,Sonne,12
אֶחָד,,"einer, eins",13
שְׁתַּים/שְׁנַיִם,,zwei,13
שׇׁלשׁ/שְׁלֹשָׁה,,drei,13
עֶשֶׂר/עַשָׂרָה,,zehn,13
מֵאָה,,hundert,13
אֶלֶף,,tausend,13
ספר,,"Q. zählen
 Ni. zählbar sein
 Pi. erzählen",13
מִסְפָּר,,Zahl,13
רַב,,"viel, zahlreich",13
רֹב,,(große) Menge,13
רבה,,"Q. zahlreich sein;  
 Hi. zahlreich machen",13
רבב,,zahlreich sein,13
כָּבֵד,,"Q. schwer sein
 Pi. ehren",14
גָּדוֹל,,groß,14
גדל,,"groß werden, groß sein",14
קטן/קָטוֹן,,klein sein/ klein,14
מכר,,verkaufen,14
קנה,,"erwerben, kaufen; schaffen",14
נתן,,geben,14
נַחֲלָה,,"Erbbesitz, Besitz",14
הלך,,gehen,15
שׁוּב,,"Q. zurückkehren, umkehren
 Hi. zurückbringen",15
סבב,,"umgeben, herumgehen; sich wenden",15
ירד,,hinabsteigen,15
עלה,,"Q. hinaufgehen, aufsteigen
 Hi. hinaufführen, aufsteigen lassen, opfern",15
עבר,,"vorübergehen, hinübergehen",15
יָם,,Meer,15
פנה,,"sich wenden, entgegentreten",15
רחק,,"fern sein, sich entfernen",15
נגשׁ,,"Q., Ni. herzutreten, nahen, sich nähern
 Hi. (dar)bringen",15
קרב,,"Q. sich nähern
 Hi. darbringen",15
קָרוֹב,,nahe,15
אֵל,,Gott,16
אֱלֹהִים,,Gott,16
אֱלוֹהַּ,,Gott,16
אָדוֹן,,Herr,16
אֲדֺנָי,,"der Herr, mein Herr",16
קָדוֹשׁ,,heilig,16
קֹדֶשׁ,,"Heiligkeit, Heiligtum, Heiliges",16
קדשׁ,,"Q. heilig sein, geweiht sein
 Pi, Hi. heiligen",16
שׁבע,,Ni. schwören,16
הלל,,Pi. loben,16
תְּהִלָּה,,"Ruhm, Lob, Lobpreis",16
כָּבוֹד,,"Herrlichkeit, Ehre",16
נָבִיא,,Prophet,16
נְאֻם,,"Ausspruch, Orakel, Spruch",16
פלל,,Hitp. beten,16
תְּפִלָּה,,Gebet,16
צוה,,"Pi. befehlen, anordnen",16
תּוֹרָה,,"Weisung, Gesetz, Entscheidung",16
