hebraeisch,bemerkungen,deutsch,lektion
אֲנִי/אָנֹכִי,,ich,1
אַתָּה,,du (m.),1
אַתְּ,,du (f.),1
הוּא,,er (m.),1
הִיא,,sie (f.),1
אֲנַחְנוּ/נַחְנוּ,,wir,1
אַתֶּם,,ihr (m.),1
אַתֵּן,,ihr (f.),1
הֵמָּה/הֵם,,sie (m.),1
אׇדָם,,Mensch,2
אִישׁ,,Mann,2
אֲנָשִׁים,,Männer (Pl. m.),2
אִשָׁה,,Frau,2
נָשִׁים,,Frauen (Pl. f.),2
נַעַר,,"Knabe; Knecht, Diener",2
נַעֲרָה,,"Mädchen; Magd, Dienerin",2
אָב,,Vater,2
אָבוֹת,,Väter (Pl. m.),2
אֵם,,Mutter,2
בֵּן,,Sohn,2
בַּת,,Tochter,2
אָח,,Bruder,2
אָחוֹת,,Schwester,2
מִשְׁפָּחָה,,"Großfamilie, Sippe, Clan",2
ילד,,"gebären, zeugen",2
הרה,,schwanger werden/sein; empfangen,2
יֶלֶד,,Kind,2
בְּכֹר,,"erstgeboren, Erstgeborener",2
גאל,,"loskaufen; auslösen, erlösen",2
אהב,,lieben,2
טוֹב,,"gut, angenehm",2
טוֹב/יטב,,gut sein,2
עֶבֶד,,"Diener, Knecht",2
עבד,,dienen,2
אָמָה,,"Magd, Sklavin",2
שִׁפְחָה,,"Magd, Sklavin",2
רֵעַ,,"Nächster, Freund",2
בָּשָׂר,,"Fleisch, Leib",3
שֵׁם,,Name,3
דָּם,,Blut,3
לֵב/לֵבָב,,Herz,3
שׁכב,,liegen,3
קוּם,,"aufstehen, bestehen",3
רֹאשׁ,,"Kopf, Haupt; Gipfel",3
פָּנִים,,"Angesicht, Oberfläche; Gesicht",3
לָשׁוֹן,,"Zunge, Sprache",3
יָד,,Hand,3
רֶגֶל,,Fuß,3
עמד,,"stehen, hintreten",3
לקח,,nehmen,3
שִׂים,,"setzen, legen, platzieren",3
עזב,,"verlassen, lassen",3
שׁלך,,werfen,3
נשׂא,,tragen; aufheben,3
